"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PROD_ID";"SUPPLIER";"VALUE";
"+12V-IN";"WIREPADSMD5-1,8";"WIREPADSMD5-1,8";"5-1,8";"Wire PAD connect wire on PCB";"";"";"";"";"";"";"";"";
"A";"WIREPADSMD5-1,8";"WIREPADSMD5-1,8";"5-1,8";"Wire PAD connect wire on PCB";"";"";"";"";"";"";"";"";
"AN-OUT";"WIREPADSMD5-1,8";"WIREPADSMD5-1,8";"5-1,8";"Wire PAD connect wire on PCB";"";"";"";"";"";"";"";"";
"B";"WIREPADSMD5-1,8";"WIREPADSMD5-1,8";"5-1,8";"Wire PAD connect wire on PCB";"";"";"";"";"";"";"";"";
"C2";"20pF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C3";"1,5uF";"10UF-1210-50V-20%";"1210";"10.0µF ceramic capacitors";"";"";"";"";"";"CAP-09824";"";"10uF";
"C4";"1,5uF";"10UF-1210-50V-20%";"1210";"10.0µF ceramic capacitors";"";"";"";"";"";"CAP-09824";"";"10uF";
"C6";"104";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C7";"0,1µ";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C8";"5pF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C9";"10uF";"C-EUC1210";"C1210";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C10";"220p";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C11";"22p";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C12";"0.1uF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C31";"100n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C32";"100n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"D-OUT";"WIREPADSMD5-1,8";"WIREPADSMD5-1,8";"5-1,8";"Wire PAD connect wire on PCB";"";"";"";"";"";"";"";"";
"D2";"";"DIODE-MELF-MLL41";"MELF-MLL41";"DIODE";"";"";"";"";"";"";"";"";
"F1";"1812L";"1812L";"1812L";"";"";"";"";"";"";"";"";"";
"GND-IN";"WIREPADSMD5-1,8";"WIREPADSMD5-1,8";"5-1,8";"Wire PAD connect wire on PCB";"";"";"";"";"";"";"";"";
"HEAT2";"WIREPADSMD5-1,8";"WIREPADSMD5-1,8";"5-1,8";"Wire PAD connect wire on PCB";"";"";"";"";"";"";"";"";
"HEATG";"WIREPADSMD5-1,8";"WIREPADSMD5-1,8";"5-1,8";"Wire PAD connect wire on PCB";"";"";"";"";"";"";"";"";
"IC1";"LM339D";"LM339D";"SO14";"Low Power Low Offset Voltage Quad Comparators";"";"";"";"";"";"";"";"";
"IC2";"REG1117";"REG1117";"SOT223";"800mA and 1A Low Dropout (LDO) Positive Regulator";"";"REG1117";"1097566";"14P6981";"";"";"";"";
"IC31";"ATMEGA168-TQFP";"ATMEGA168-TQFP";"TQFP32-08";"Atmel Atmega 168/328/328P";"";"";"";"";"";"";"";"";
"KAMM-";"WIREPADSMD5-1,8";"WIREPADSMD5-1,8";"5-1,8";"Wire PAD connect wire on PCB";"";"";"";"";"";"";"";"";
"KAMMS";"WIREPADSMD5-1,8";"WIREPADSMD5-1,8";"5-1,8";"Wire PAD connect wire on PCB";"";"";"";"";"";"";"";"";
"L1";"1mH";"WE-LQ_1210";"WE-LQ_M";"SMD Inductor";"";"";"";"";"";"";"";"";
"LED";"lc-yellow";"LEDCHIPLED_0805";"CHIPLED_0805";"LED";"";"";"";"";"";"";"";"";
"LED32";"";"LEDCHIPLED_0805";"CHIPLED_0805";"LED";"";"";"";"";"";"";"";"";
"NRF24L01+";"WIRELESS-NRF24L01";"WIRELESS-NRF24L01";"WIRELESS-NRF24L01";"2.4 GHz Wireless Module based on NRF24L01 chip";"";"";"";"";"";"";"";"";
"R1";"4K7";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"R4";"100k";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"R5";"";"R-TRIMM5X";"RTRIM5X";"Trimm resistor";"";"";"";"";"";"";"";"";
"R6";"60";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"R7";"100k";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"R8";"100k";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"R9";"60";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"R10";"100k";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"R13";"47k";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"R15";"10k";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"R16";"4k7";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"R17";"2k7";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"R23";"4k7";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"R24";"4k7";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"R25";"1k";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"R30";"";"R-TRIMMTS63Z";"RTRIMTS63Z";"Trimm resistor";"";"";"";"";"";"";"";"";
"R32";"1k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"R34";"";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"REG2";"Mini360";"DC-DC-STEP-DOWN-MP2307";"DC-DC-STEP-DOWN-MP2307";"DC/DC Step-Down Regulator based on MP2307DN chip";"";"";"";"";"";"";"";"";
"RS485";"MAX487ECSA+";"MAX487ECSA+";"SOIC127P600X175-8N";"Low-Power, Slew-Rate-Limited RS-485/RS-422 Transceivers";"";"MAX487ECSA+";"9724532";"68K4803";"SOIC-8";"";"Maxim";"";
"SIN+";"WIREPADSMD1,27-254";"WIREPADSMD1,27-254";"SMD1,27-2,54";"Wire PAD connect wire on PCB";"";"";"";"";"";"";"";"";
"SIN-";"WIREPADSMD1,27-254";"WIREPADSMD1,27-254";"SMD1,27-2,54";"Wire PAD connect wire on PCB";"";"";"";"";"";"";"";"";
"SOUT+";"WIREPADSMD1,27-254";"WIREPADSMD1,27-254";"SMD1,27-2,54";"Wire PAD connect wire on PCB";"";"";"";"";"";"";"";"";
"SOUT-";"WIREPADSMD1,27-254";"WIREPADSMD1,27-254";"SMD1,27-2,54";"Wire PAD connect wire on PCB";"";"";"";"";"";"";"";"";
"T2";"";"BC868-NPN-SOT89-BCE";"SOT89-BCE";"NPN Transistror";"";"";"";"";"";"";"";"";
"X31";"M03X2";"M03X2";"2X03-1.27MM_SMD";"";"";"";"";"";"";"";"";"";
